ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
407,aabdouraman,21,9/6/2016 6:43,9/6/2016 6:14,5,7,exno,---,Mokolo
411,aabdouraman,33,9/6/2016 7:19,9/6/2016 6:52,5,8,exno,---,Mokolo
834,aabdouraman,30,9/6/2016 8:11,9/6/2016 7:42,5,9,exno,---,Mokolo
835,aabdouraman,18,9/6/2016 8:35,9/6/2016 8:23,5,10,exno,---,Mokolo
638,aabdouraman,27,9/6/2016 9:12,9/6/2016 8:47,5,11,exno,---,Mokolo
967,aabdouraman,34,9/6/2016 9:57,9/6/2016 9:28,5,12,exno,---,Mokolo
301,aabdouraman,31,9/6/2016 10:33,9/6/2016 10:04,5,13,exno,---,Mokolo
562,aabdouraman,19,9/6/2016 11:07,9/6/2016 10:47,5,14,exno,---,Mokolo
683,aabdouraman,23,9/6/2016 11:33,9/6/2016 11:11,5,15,exno,---,Mokolo
700,aabdouraman,41,9/28/2016 9:36,9/28/2016 9:14,6,1,exno,---,Maroua
211,aabdouraman,35,9/28/2016 10:03,9/28/2016 9:49,6,2,exno,---,Maroua
451,aabdouraman,55,9/28/2016 10:23,9/28/2016 10:09,6,3,exno,---,Maroua
703,aabdouraman,20,9/28/2016 10:50,9/28/2016 10:28,6,4,exno,---,Maroua
977,aabdouraman,22,9/28/2016 14:47,9/28/2016 14:18,6,5,exno,---,Maroua
213,aabdouraman,33,9/28/2016 15:22,9/28/2016 14:53,6,6,exno,---,Maroua
450,aabdouraman,38,9/28/2016 15:47,9/28/2016 15:28,6,7,exno,---,Maroua
699,aabdouraman,41,9/29/2016 7:19,9/29/2016 6:55,6,8,exno,---,Maroua
701,aabdouraman,28,9/29/2016 8:06,9/29/2016 7:24,6,9,exno,---,Maroua
702,aabdouraman,45,9/29/2016 8:35,9/29/2016 8:13,6,10,exno,---,Maroua
1270,aabdouraman,57,9/29/2016 9:00,9/29/2016 8:44,6,11,exno,---,Maroua
214,aabdouraman,23,9/29/2016 9:25,9/29/2016 9:04,6,12,exno,---,Maroua
