ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
586,amadi,57,8/13/2016 14:23,8/13/2016 14:00,21,8,no,Guider,---
72,amadi,48,8/13/2016 14:52,8/13/2016 14:32,21,9,no,Guider,---
440,amadi,26,8/13/2016 15:28,8/13/2016 15:03,21,10,no,Guider,---
152,amadi,40,8/13/2016 15:55,8/13/2016 15:43,21,11,no,Guider,---
441,amadi,33,8/13/2016 16:12,8/13/2016 16:01,21,12,no,Guider,---
523,amadi,36,8/14/2016 9:10,8/14/2016 8:31,22,1,no,Guider,---
365,amadi,42,8/14/2016 9:26,8/14/2016 9:10,22,2,no,Guider,---
366,amadi,28,8/14/2016 9:38,8/14/2016 9:31,22,3,no,Guider,---
882,amadi,40,8/14/2016 10:00,8/14/2016 9:39,22,4,no,Guider,---
682,amadi,37,8/14/2016 10:44,8/14/2016 10:13,22,5,no,Guider,---
73,amadi,40,8/14/2016 11:27,8/14/2016 11:02,22,6,no,Guider,---
162,amadi,43,8/14/2016 12:04,8/14/2016 11:32,22,7,no,Guider,---
153,amadi,38,8/15/2016 10:03,8/15/2016 9:40,22,8,no,Guider,---
1220,amadi,19,8/15/2016 10:43,8/15/2016 10:21,22,9,no,Guider,---
1064,amadi,70,8/15/2016 11:12,8/15/2016 10:50,22,10,no,Guider,---
848,amadi,42,8/15/2016 11:50,8/15/2016 11:12,22,11,no,Guider,---
636,amadi,45,8/15/2016 12:15,8/15/2016 11:59,22,12,no,Guider,---
779,amadi,36,8/15/2016 15:01,8/15/2016 14:43,22,13,no,Guider,---
927,amadi,84,8/15/2016 15:26,8/15/2016 15:09,22,14,no,Guider,---
937,amadi,21,8/15/2016 15:51,8/15/2016 15:33,22,15,no,Guider,---
855,amadi,51,8/16/2016 12:55,8/16/2016 12:28,23,1,no,Guider,---
207,amadi,45,8/16/2016 13:52,8/16/2016 13:05,23,2,no,Guider,---
928,amadi,75,8/16/2016 14:13,8/16/2016 14:03,23,3,no,Guider,---
127,amadi,38,8/16/2016 14:28,8/16/2016 14:17,23,4,no,Guider,---
273,amadi,30,8/16/2016 14:53,8/16/2016 14:40,23,5,no,Guider,---
48,amadi,42,8/16/2016 15:26,8/16/2016 15:02,23,6,no,Guider,---
314,amadi,36,8/17/2016 11:09,8/17/2016 11:03,23,7,no,Guider,---
1071,amadi,47,8/17/2016 12:24,8/17/2016 12:00,23,8,no,Guider,---
1233,amadi,20,8/17/2016 12:59,8/17/2016 12:40,23,9,no,Guider,---
1234,amadi,47,8/17/2016 13:28,8/17/2016 13:07,23,10,no,Guider,---
929,amadi,20,8/17/2016 14:01,8/17/2016 13:36,23,11,no,Guider,---
128,amadi,32,8/17/2016 16:35,8/17/2016 14:12,23,12,no,Guider,---
391,bdanzabe,19,8/11/2016 16:19,8/11/2016 15:54,24,1,no,garoua,---
324,bdanzabe,23,8/11/2016 16:41,8/11/2016 16:22,24,2,no,garoua,---
887,bdanzabe,20,8/12/2016 13:06,8/12/2016 12:44,24,3,no,garoua,---
392,bdanzabe,25,8/12/2016 13:28,8/12/2016 13:14,24,4,no,garoua,---
578,bdanzabe,42,8/12/2016 13:52,8/12/2016 13:36,24,5,no,garoua,---
393,bdanzabe,24,8/12/2016 14:06,8/12/2016 13:52,24,6,no,garoua,---
360,bdanzabe,18,8/12/2016 14:31,8/12/2016 14:16,24,7,no,garoua,---
436,bdanzabe,26,8/12/2016 14:47,8/12/2016 14:33,24,8,no,garoua,---
288,bdanzabe,27,8/12/2016 14:58,8/12/2016 14:50,24,9,no,garoua,---
1216,bdanzabe,21,8/12/2016 15:08,8/12/2016 14:58,24,10,no,garoua,---
437,bdanzabe,32,8/12/2016 15:18,8/12/2016 15:09,24,11,no,garoua,---
197,bdanzabe,21,8/13/2016 13:44,8/13/2016 13:09,25,1,no,garoua,---
582,bdanzabe,25,8/13/2016 14:18,8/13/2016 13:53,25,2,no,garoua,---
198,bdanzabe,26,8/13/2016 14:30,8/13/2016 14:24,25,3,no,garoua,---
846,bdanzabe,33,8/13/2016 14:43,8/13/2016 14:37,25,4,no,garoua,---
631,bdanzabe,19,8/13/2016 14:59,8/13/2016 14:44,25,5,no,garoua,---
645,bdanzabe,42,8/13/2016 15:13,8/13/2016 15:03,25,6,no,garoua,---
290,bdanzabe,21,8/13/2016 15:38,8/13/2016 15:28,25,7,no,garoua,---
583,bdanzabe,30,8/13/2016 15:49,8/13/2016 15:43,25,8,no,garoua,---
362,bdanzabe,26,8/13/2016 16:31,8/13/2016 16:20,25,9,no,garoua,---
65,bdanzabe,22,8/13/2016 16:43,8/13/2016 16:37,25,10,no,garoua,---
1229,bdanzabe,50,8/14/2016 16:29,8/14/2016 16:20,25,11,no,garoua,---
442,bdanzabe,35,8/14/2016 16:43,8/14/2016 16:31,25,12,no,garoua,---
565,bdanzabe,34,8/14/2016 17:07,8/14/2016 16:43,25,13,no,garoua,---
552,bdanzabe,29,8/14/2016 17:28,8/14/2016 17:13,25,14,no,garoua,---
1253,bdanzabe,60,8/15/2016 7:16,8/15/2016 7:11,25,15,no,garoua,---
935,bdanzabe,26,8/17/2016 11:44,8/17/2016 11:26,26,1,no,gashiga,---
385,bdanzabe,33,8/17/2016 12:14,8/17/2016 11:50,26,2,no,gashiga,---
374,bdanzabe,24,8/17/2016 13:11,8/17/2016 12:24,26,3,no,gashiga,---
936,bdanzabe,21,8/17/2016 13:34,8/17/2016 13:12,26,4,no,gashiga,---
47,bdanzabe,36,8/17/2016 13:41,8/17/2016 13:34,26,5,no,gashiga,---
101,bdanzabe,42,8/17/2016 13:58,8/17/2016 13:42,26,6,no,gashiga,---
558,bdanzabe,30,8/17/2016 14:05,8/17/2016 13:58,26,7,no,gashiga,---
559,bdanzabe,23,8/17/2016 14:32,8/17/2016 14:17,26,8,no,gashiga,---
615,bdanzabe,21,8/17/2016 14:48,8/17/2016 14:35,26,9,no,gashiga,---
386,bdanzabe,20,8/17/2016 14:55,8/17/2016 14:49,26,10,no,gashiga,---
981,bdanzabe,40,10/6/2016 10:48,10/6/2016 10:27,27,1,no,garoua,---
982,bdanzabe,26,10/6/2016 11:11,10/6/2016 10:52,27,2,no,garoua,---
1280,bdanzabe,18,10/6/2016 11:47,10/6/2016 11:19,27,3,no,garoua,---
1281,bdanzabe,26,10/6/2016 12:27,10/6/2016 11:55,27,4,no,garoua,---
224,bdanzabe,31,10/6/2016 13:18,10/6/2016 12:55,27,5,no,garoua,---
225,bdanzabe,30,10/6/2016 13:48,10/6/2016 13:18,27,6,no,garoua,---
1282,bdanzabe,26,10/6/2016 14:15,10/6/2016 13:55,27,7,no,garoua,---
226,bdanzabe,22,10/6/2016 14:50,10/6/2016 14:23,27,8,no,garoua,---
227,bdanzabe,22,10/6/2016 15:19,10/6/2016 14:58,27,9,no,garoua,---
228,bdanzabe,28,10/6/2016 16:49,10/6/2016 16:30,27,10,no,garoua,---
491,bdanzabe,34,10/7/2016 9:02,10/7/2016 8:25,28,1,no,garoua,---
219,bdanzabe,26,10/7/2016 9:19,10/7/2016 9:09,28,2,no,garoua,---
1296,bdanzabe,23,10/7/2016 10:02,10/7/2016 9:31,28,3,no,garoua,---
487,bdanzabe,22,10/7/2016 10:26,10/7/2016 10:07,28,4,no,garoua,---
220,bdanzabe,22,10/7/2016 11:09,10/7/2016 10:41,28,5,no,garoua,---
488,bdanzabe,21,10/7/2016 11:28,10/7/2016 11:19,28,6,no,garoua,---
489,bdanzabe,40,10/7/2016 11:46,10/7/2016 11:37,28,7,no,garoua,---
221,bdanzabe,35,10/7/2016 12:08,10/7/2016 11:51,28,8,no,garoua,---
1299,bdanzabe,16,10/7/2016 12:21,10/7/2016 12:12,28,9,no,garoua,---
490,bdanzabe,19,10/7/2016 12:47,10/7/2016 12:25,28,10,no,garoua,---
222,bdanzabe,25,10/7/2016 13:10,10/7/2016 12:49,28,11,no,garoua,---
1300,bdanzabe,24,10/7/2016 13:31,10/7/2016 13:22,28,12,no,garoua,---
1297,bdanzabe,21,10/7/2016 13:42,10/7/2016 13:31,28,13,no,garoua,---
1298,bdanzabe,26,10/7/2016 14:34,10/7/2016 13:57,28,14,no,garoua,---
218,bdanzabe,25,10/7/2016 15:12,10/7/2016 14:34,28,15,no,garoua,---
984,bdanzabe,22,10/7/2016 15:33,10/7/2016 15:23,28,16,no,garoua,---
492,bdanzabe,23,10/7/2016 15:46,10/7/2016 15:34,28,17,no,garoua,---
726,bdanzabe,21,10/7/2016 15:55,10/7/2016 15:47,28,18,no,garoua,---
727,bdanzabe,23,10/7/2016 16:07,10/7/2016 15:56,28,19,no,garoua,---
486,bdanzabe,24,10/7/2016 16:29,10/7/2016 16:11,28,20,no,garoua,---
478,bdanzabe,46,10/11/2016 10:05,10/11/2016 9:46,29,1,no,gashiga,---
1275,bdanzabe,30,10/11/2016 10:48,10/11/2016 10:16,29,2,no,gashiga,---
256,bdanzabe,25,10/11/2016 11:15,10/11/2016 10:54,29,3,no,gashiga,---
715,bdanzabe,27,10/11/2016 11:49,10/11/2016 11:17,29,4,no,gashiga,---
1276,bdanzabe,36,10/11/2016 12:31,10/11/2016 12:09,29,5,no,gashiga,---
1277,bdanzabe,20,10/11/2016 12:59,10/11/2016 12:39,29,6,no,gashiga,---
237,bdanzabe,43,10/11/2016 13:55,10/11/2016 13:30,29,7,no,gashiga,---
716,bdanzabe,26,10/11/2016 15:52,10/11/2016 15:26,29,8,no,gashiga,---
479,bdanzabe,21,10/11/2016 17:14,10/11/2016 16:39,29,9,no,gashiga,---
1001,bdanzabe,50,10/11/2016 18:01,10/11/2016 17:26,29,10,no,gashiga,---
728,bdanzabe,36,10/12/2016 10:01,10/12/2016 9:28,30,1,no,gashiga,---
452,bdanzabe,55,10/12/2016 10:40,10/12/2016 10:18,30,2,no,gashiga,---
1005,bdanzabe,47,10/12/2016 11:48,10/12/2016 11:23,30,3,no,gashiga,---
729,bdanzabe,19,10/12/2016 12:45,10/12/2016 12:03,30,4,no,gashiga,---
1006,bdanzabe,38,10/12/2016 13:06,10/12/2016 12:45,30,5,no,gashiga,---
245,bdanzabe,21,10/12/2016 13:32,10/12/2016 13:07,30,6,no,gashiga,---
246,bdanzabe,20,10/12/2016 14:13,10/12/2016 13:40,30,7,no,gashiga,---
1007,bdanzabe,26,10/12/2016 14:27,10/12/2016 14:13,30,8,no,gashiga,---
247,bdanzabe,23,10/12/2016 15:31,10/12/2016 14:27,30,9,no,gashiga,---
1290,bdanzabe,36,10/12/2016 15:58,10/12/2016 15:39,30,10,no,gashiga,---
1008,bdanzabe,28,10/12/2016 16:32,10/12/2016 16:20,30,11,no,gashiga,---
453,bdanzabe,28,10/12/2016 17:00,10/12/2016 16:38,30,12,no,gashiga,---
454,bdanzabe,28,10/12/2016 17:41,10/12/2016 17:17,30,13,no,gashiga,---
730,bdanzabe,30,10/12/2016 18:22,10/12/2016 17:55,30,14,no,gashiga,---
731,bdanzabe,41,10/12/2016 19:00,10/12/2016 18:27,30,15,no,gashiga,---
732,bdanzabe,39,10/12/2016 19:42,10/12/2016 19:10,30,16,no,gashiga,---
243,bdanzabe,23,10/13/2016 6:04,10/13/2016 5:47,29,11,no,gashiga,---
244,bdanzabe,46,10/13/2016 7:05,10/13/2016 6:20,29,12,no,gashiga,---
972,labba,31,8/8/2016 9:49,8/8/2016 9:29,31,1,exno,---,Mora
341,labba,22,8/8/2016 10:14,8/8/2016 9:51,31,2,exno,---,Mora
419,labba,30,8/8/2016 10:31,8/8/2016 10:18,31,3,exno,---,Mora
1249,labba,22,8/8/2016 10:58,8/8/2016 10:35,31,4,exno,---,Mora
914,labba,35,8/8/2016 11:29,8/8/2016 11:05,31,5,exno,---,Mora
331,labba,21,8/8/2016 11:50,8/8/2016 11:33,31,6,exno,---,Mora
332,labba,24,8/8/2016 12:02,8/8/2016 11:51,31,7,exno,---,Mora
973,labba,30,8/8/2016 12:22,8/8/2016 12:06,31,8,exno,---,Mora
138,labba,33,8/8/2016 12:41,8/8/2016 12:25,31,9,exno,---,Mora
396,labba,20,8/8/2016 12:57,8/8/2016 12:47,31,10,exno,---,Mora
113,labba,30,8/8/2016 13:18,8/8/2016 13:01,31,11,exno,---,Mora
1224,labba,23,8/8/2016 13:35,8/8/2016 13:20,31,12,exno,---,Mora
177,labba,30,8/8/2016 13:48,8/8/2016 13:37,31,13,exno,---,Mora
281,labba,55,8/8/2016 14:05,8/8/2016 13:50,31,14,exno,---,Mora
397,labba,21,8/8/2016 14:24,8/8/2016 14:08,31,15,exno,---,Mora
57,labba,21,8/10/2016 9:26,8/10/2016 9:12,32,1,exno,---,Mora
836,labba,30,8/10/2016 9:41,8/10/2016 9:31,32,2,exno,---,Mora
1108,labba,23,8/10/2016 9:56,8/10/2016 9:47,32,3,exno,---,Mora
511,labba,32,8/10/2016 10:11,8/10/2016 9:59,32,4,exno,---,Mora
388,labba,26,8/10/2016 10:22,8/10/2016 10:11,32,5,exno,---,Mora
573,labba,35,8/10/2016 10:38,8/10/2016 10:28,32,6,exno,---,Mora
433,labba,43,8/10/2016 10:56,8/10/2016 10:46,32,7,exno,---,Mora
320,labba,39,8/10/2016 11:11,8/10/2016 10:59,32,8,exno,---,Mora
574,labba,24,8/10/2016 11:22,8/10/2016 11:12,32,9,exno,---,Mora
1179,labba,32,8/10/2016 11:33,8/10/2016 11:26,32,10,exno,---,Mora
203,labba,30,8/10/2016 11:46,8/10/2016 11:37,32,11,exno,---,Mora
26,labba,36,8/10/2016 12:00,8/10/2016 11:51,32,12,exno,---,Mora
1109,labba,26,8/10/2016 12:11,8/10/2016 12:05,32,13,exno,---,Mora
867,labba,35,8/10/2016 12:29,8/10/2016 12:14,32,14,exno,---,Mora
142,labba,27,8/10/2016 12:40,8/10/2016 12:31,32,15,exno,---,Mora
456,labba,20,10/15/2016 11:40,10/15/2016 10:51,33,1,exno,---,Mora
248,labba,36,10/15/2016 12:23,10/15/2016 11:46,33,2,exno,---,Mora
249,labba,25,10/15/2016 13:09,10/15/2016 12:30,33,3,exno,---,Mora
251,labba,23,10/15/2016 14:02,10/15/2016 13:16,33,4,exno,---,Mora
1027,labba,25,10/15/2016 14:42,10/15/2016 14:11,33,5,exno,---,Mora
252,labba,30,10/15/2016 15:51,10/15/2016 15:17,33,6,exno,---,Mora
753,labba,27,10/15/2016 16:28,10/15/2016 15:56,33,7,exno,---,Mora
457,labba,32,10/16/2016 7:32,10/16/2016 7:02,33,8,exno,---,Mora
458,labba,23,10/16/2016 7:59,10/16/2016 7:33,33,9,exno,---,Mora
254,labba,47,10/16/2016 8:44,10/16/2016 8:05,33,10,exno,---,Mora
754,labba,19,10/16/2016 9:31,10/16/2016 8:50,33,11,exno,---,Mora
755,labba,20,10/16/2016 10:18,10/16/2016 9:43,33,12,exno,---,Mora
756,labba,31,10/16/2016 10:53,10/16/2016 10:24,33,13,exno,---,Mora
459,labba,32,10/16/2016 11:45,10/16/2016 11:02,33,14,exno,---,Mora
250,labba,52,10/16/2016 12:22,10/16/2016 11:54,33,15,exno,---,Mora
1021,labba,25,10/18/2016 10:25,10/18/2016 10:04,34,1,exno,---,Mora
1022,labba,34,10/18/2016 10:55,10/18/2016 10:34,34,2,exno,---,Mora
1023,labba,24,10/18/2016 11:35,10/18/2016 11:09,34,3,exno,---,Mora
1307,labba,35,10/18/2016 12:00,10/18/2016 11:44,34,4,exno,---,Mora
1020,labba,31,10/18/2016 12:26,10/18/2016 12:08,34,5,exno,---,Mora
752,labba,19,10/18/2016 12:59,10/18/2016 12:38,34,6,exno,---,Mora
253,labba,19,10/18/2016 13:30,10/18/2016 13:09,34,7,exno,---,Mora
737,labba,26,10/18/2016 14:03,10/18/2016 13:40,34,8,exno,---,Mora
1024,labba,33,10/18/2016 14:40,10/18/2016 14:14,34,9,exno,---,Mora
738,labba,20,10/18/2016 15:11,10/18/2016 14:49,34,10,exno,---,Mora
751,labba,48,10/19/2016 7:20,10/19/2016 6:57,34,11,exno,---,Mora
258,labba,59,10/19/2016 7:54,10/19/2016 7:30,34,12,exno,---,Mora
1313,labba,38,10/19/2016 8:30,10/19/2016 8:03,34,13,exno,---,Mora
1012,labba,33,10/19/2016 8:57,10/19/2016 8:40,34,14,exno,---,Mora
259,labba,41,10/19/2016 9:23,10/19/2016 9:07,34,15,exno,---,Mora
1013,labba,27,10/19/2016 10:47,10/19/2016 10:25,35,1,exno,---,Mora
1014,labba,31,10/19/2016 11:20,10/19/2016 10:57,35,2,exno,---,Mora
742,labba,58,10/19/2016 11:54,10/19/2016 11:29,35,3,exno,---,Mora
1015,labba,36,10/19/2016 12:29,10/19/2016 12:07,35,4,exno,---,Mora
743,labba,25,10/19/2016 13:00,10/19/2016 12:37,35,5,exno,---,Mora
1309,labba,27,10/19/2016 13:31,10/19/2016 13:10,35,6,exno,---,Mora
468,labba,37,10/19/2016 14:02,10/19/2016 13:40,35,7,exno,---,Mora
469,labba,43,10/19/2016 14:40,10/19/2016 14:14,35,8,exno,---,Mora
1310,labba,54,10/19/2016 15:21,10/19/2016 14:50,35,9,exno,---,Mora
470,labba,26,10/19/2016 15:56,10/19/2016 15:30,35,10,exno,---,Mora
1311,labba,57,10/20/2016 6:55,10/20/2016 6:32,35,11,exno,---,Mora
471,labba,22,10/20/2016 7:30,10/20/2016 7:05,35,12,exno,---,Mora
1016,labba,23,10/20/2016 8:07,10/20/2016 7:43,35,13,exno,---,Mora
1312,labba,57,10/20/2016 8:29,10/20/2016 8:16,35,14,exno,---,Mora
741,labba,23,10/20/2016 9:04,10/20/2016 8:41,35,15,exno,---,Mora
358,mahmadou,26,8/11/2016 6:07,8/11/2016 5:35,36,1,no,garoua,---
59,mahmadou,32,8/11/2016 6:43,8/11/2016 6:13,36,2,no,garoua,---
1148,mahmadou,36,8/11/2016 7:29,8/11/2016 6:57,36,3,no,garoua,---
839,mahmadou,67,8/11/2016 9:20,8/11/2016 8:35,36,4,no,garoua,---
513,mahmadou,62,8/11/2016 12:01,8/11/2016 11:09,36,5,no,garoua,---
873,mahmadou,24,8/11/2016 14:16,8/11/2016 13:50,36,6,no,garoua,---
322,mahmadou,22,8/12/2016 5:50,8/12/2016 5:36,36,7,no,garoua,---
323,mahmadou,50,8/12/2016 10:24,8/12/2016 10:02,36,8,no,garoua,---
359,mahmadou,48,8/12/2016 10:53,8/12/2016 10:34,36,9,no,garoua,---
514,mahmadou,40,8/12/2016 11:25,8/12/2016 10:59,36,10,no,garoua,---
1183,mahmadou,44,8/12/2016 13:35,8/12/2016 13:13,36,11,no,garoua,---
874,mahmadou,65,8/12/2016 14:08,8/12/2016 13:46,36,12,no,garoua,---
886,mahmadou,31,8/12/2016 14:53,8/12/2016 14:23,36,13,no,garoua,---
1113,mahmadou,58,8/12/2016 15:15,8/12/2016 15:00,36,14,no,garoua,---
60,mahmadou,38,8/12/2016 15:31,8/12/2016 15:18,36,15,no,garoua,---
1118,mahmadou,20,8/13/2016 9:36,8/13/2016 9:22,37,1,no,garoua,---
67,mahmadou,27,8/13/2016 10:03,8/13/2016 9:42,37,2,no,garoua,---
647,mahmadou,18,8/13/2016 12:09,8/13/2016 11:45,37,3,no,garoua,---
1062,mahmadou,25,8/13/2016 12:37,8/13/2016 12:19,37,4,no,garoua,---
648,mahmadou,36,8/13/2016 13:12,8/13/2016 12:46,37,5,no,garoua,---
159,mahmadou,23,8/13/2016 13:33,8/13/2016 13:19,37,6,no,garoua,---
894,mahmadou,22,8/13/2016 14:02,8/13/2016 13:44,37,7,no,garoua,---
68,mahmadou,49,8/13/2016 14:40,8/13/2016 14:17,37,8,no,garoua,---
40,mahmadou,30,8/13/2016 14:54,8/13/2016 14:43,37,9,no,garoua,---
293,mahmadou,52,8/14/2016 12:09,8/14/2016 11:51,37,10,no,garoua,---
519,mahmadou,56,8/14/2016 12:56,8/14/2016 12:21,37,11,no,garoua,---
879,mahmadou,35,8/14/2016 13:39,8/14/2016 13:23,37,12,no,garoua,---
766,mahmadou,28,8/14/2016 14:01,8/14/2016 13:43,37,13,no,garoua,---
151,mahmadou,31,8/14/2016 14:27,8/14/2016 14:06,37,14,no,garoua,---
520,mahmadou,26,8/14/2016 15:07,8/14/2016 14:42,37,15,no,garoua,---
538,mahmadou,70,8/15/2016 9:10,8/15/2016 8:50,38,1,no,garoua,---
205,mahmadou,49,8/15/2016 9:59,8/15/2016 9:17,38,2,no,garoua,---
1231,mahmadou,52,8/15/2016 10:30,8/15/2016 10:07,38,3,no,garoua,---
792,mahmadou,61,8/15/2016 10:50,8/15/2016 10:37,38,4,no,garoua,---
99,mahmadou,50,8/15/2016 11:32,8/15/2016 11:00,38,5,no,garoua,---
539,mahmadou,20,8/15/2016 15:01,8/15/2016 14:44,38,6,no,garoua,---
540,mahmadou,25,8/15/2016 15:27,8/15/2016 15:11,38,7,no,garoua,---
1103,mahmadou,36,8/15/2016 16:09,8/15/2016 15:52,38,8,no,garoua,---
1104,mahmadou,42,8/17/2016 11:40,8/17/2016 11:26,38,9,no,garoua,---
614,mahmadou,48,8/17/2016 12:11,8/17/2016 11:48,38,10,no,garoua,---
100,mahmadou,53,8/17/2016 12:52,8/17/2016 12:20,38,11,no,garoua,---
125,mahmadou,24,8/17/2016 14:56,8/17/2016 14:38,38,12,no,garoua,---
311,mahmadou,20,8/17/2016 16:47,8/17/2016 16:27,38,13,no,garoua,---
312,mahmadou,27,8/17/2016 17:08,8/17/2016 16:49,38,14,no,garoua,---
206,mahmadou,63,8/17/2016 18:50,8/17/2016 18:45,38,15,no,garoua,---
337,mahmadou,40,8/26/2016 8:52,8/26/2016 8:43,39,1,no,garoua,---
83,mahmadou,21,8/27/2016 8:24,8/27/2016 8:09,39,2,no,garoua,---
966,mahmadou,35,8/28/2016 15:29,8/28/2016 15:12,39,3,no,garoua,---
1082,mahmadou,20,8/28/2016 16:01,8/28/2016 15:36,39,4,no,garoua,---
959,mahmadou,25,8/28/2016 16:21,8/28/2016 16:07,39,5,no,garoua,---
1133,mahmadou,40,8/28/2016 16:42,8/28/2016 16:28,39,6,no,garoua,---
831,mahmadou,27,8/28/2016 16:57,8/28/2016 16:44,39,7,no,garoua,---
1134,mahmadou,59,8/31/2016 10:40,8/31/2016 10:28,39,8,no,garoua,---
109,mahmadou,54,8/31/2016 12:24,8/31/2016 12:06,39,9,no,garoua,---
1245,mahmadou,52,8/31/2016 12:59,8/31/2016 12:42,39,10,no,garoua,---
413,mahmadou,35,8/31/2016 13:30,8/31/2016 13:14,39,11,no,garoua,---
414,mahmadou,50,8/31/2016 13:46,8/31/2016 13:35,39,12,no,garoua,---
8,mahmadou,42,8/31/2016 14:09,8/31/2016 13:53,39,13,no,garoua,---
698,mahmadou,20,8/31/2016 14:32,8/31/2016 14:13,39,14,no,garoua,---
84,mahmadou,37,8/31/2016 14:49,8/31/2016 14:35,39,15,no,garoua,---
1315,mahmadou,33,9/24/2016 7:34,9/24/2016 7:22,40,1,no,garoua,---
1019,mahmadou,41,9/25/2016 15:07,9/25/2016 14:31,40,2,no,garoua,---
749,mahmadou,53,9/28/2016 14:52,9/28/2016 14:43,40,3,no,garoua,---
464,mahmadou,25,9/30/2016 9:00,9/30/2016 8:51,40,4,no,garoua,---
750,mahmadou,20,10/19/2016 9:08,10/19/2016 9:01,40,5,no,garoua,---
255,mahmadou,58,10/19/2016 9:16,10/19/2016 9:10,40,6,no,garoua,---
745,mahmadou,47,10/19/2016 13:29,10/19/2016 13:21,40,7,no,garoua,---
1017,mahmadou,36,10/19/2016 14:29,10/19/2016 14:22,40,8,no,garoua,---
465,mahmadou,26,10/19/2016 14:36,10/19/2016 14:30,40,9,no,garoua,---
466,mahmadou,63,10/19/2016 14:48,10/19/2016 14:40,40,10,no,garoua,---
747,mahmadou,40,10/19/2016 14:58,10/19/2016 14:51,40,11,no,garoua,---
1018,mahmadou,78,10/19/2016 15:21,10/19/2016 15:02,40,12,no,garoua,---
748,mahmadou,25,10/19/2016 15:36,10/19/2016 15:22,40,13,no,garoua,---
467,mahmadou,45,10/19/2016 16:14,10/19/2016 16:09,40,14,no,garoua,---
497,mahmadou,60,10/21/2016 6:02,10/21/2016 5:51,40,15,no,garoua,---
498,mahmadou,27,10/22/2016 13:58,10/22/2016 13:52,41,1,no,garoua,---
1319,mahmadou,41,10/22/2016 14:04,10/22/2016 13:58,41,2,no,garoua,---
1034,mahmadou,55,10/22/2016 14:12,10/22/2016 14:05,41,3,no,garoua,---
264,mahmadou,35,10/22/2016 14:20,10/22/2016 14:14,41,4,no,garoua,---
1320,mahmadou,29,10/25/2016 7:11,10/25/2016 7:03,41,5,no,garoua,---
499,mahmadou,45,10/25/2016 7:17,10/25/2016 7:11,41,6,no,garoua,---
262,mahmadou,75,10/25/2016 7:26,10/25/2016 7:19,41,7,no,garoua,---
759,mahmadou,32,10/25/2016 7:38,10/25/2016 7:29,41,8,no,garoua,---
1035,mahmadou,25,10/25/2016 7:50,10/25/2016 7:39,41,9,no,garoua,---
263,mahmadou,50,11/2/2016 9:48,11/2/2016 9:42,41,10,no,garoua,---
500,mahmadou,47,11/2/2016 9:56,11/2/2016 9:48,41,11,no,garoua,---
758,mahmadou,29,11/2/2016 10:11,11/2/2016 10:02,41,12,no,garoua,---
1321,mahmadou,30,11/2/2016 10:22,11/2/2016 10:12,41,13,no,garoua,---
1036,mahmadou,56,11/2/2016 10:33,11/2/2016 10:23,41,14,no,garoua,---
706,mahmadou,40,11/3/2016 11:16,11/3/2016 11:05,42,1,no,garoua,---
1039,mahmadou,25,11/3/2016 11:26,11/3/2016 11:16,42,2,no,garoua,---
1040,mahmadou,56,11/3/2016 16:08,11/3/2016 16:01,42,3,no,garoua,---
705,mahmadou,30,11/3/2016 16:16,11/3/2016 16:09,42,4,no,garoua,---
1273,mahmadou,41,11/3/2016 16:25,11/3/2016 16:17,42,5,no,garoua,---
1272,mahmadou,20,11/4/2016 14:56,11/4/2016 14:51,42,6,no,garoua,---
508,mahmadou,32,11/5/2016 7:12,11/5/2016 7:05,42,7,no,garoua,---
509,mahmadou,45,11/5/2016 7:20,11/5/2016 7:12,42,8,no,garoua,---
704,mahmadou,22,11/5/2016 7:28,11/5/2016 7:20,42,9,no,garoua,---
510,mahmadou,50,11/5/2016 8:11,11/5/2016 7:28,42,10,no,garoua,---
1043,mahmadou,38,11/5/2016 9:15,11/5/2016 8:59,42,11,no,garoua,---
1044,mahmadou,70,11/5/2016 9:26,11/5/2016 9:19,42,12,no,garoua,---
233,mahmadou,25,11/5/2016 10:01,11/5/2016 9:26,42,13,no,garoua,---
1041,mahmadou,24,11/5/2016 10:32,11/5/2016 10:01,42,14,no,garoua,---
1042,mahmadou,30,11/5/2016 10:39,11/5/2016 10:33,42,15,no,garoua,---
530,mdjabou,21,8/7/2016 13:45,8/7/2016 13:25,99,1,exno,---,Kaele
921,mdjabou,53,8/8/2016 14:29,8/8/2016 14:06,99,2,exno,---,Kaele
179,mdjabou,59,8/9/2016 17:21,8/9/2016 17:09,99,3,exno,---,Kaele
1057,mdjabou,51,8/9/2016 18:57,8/9/2016 18:45,99,4,exno,---,Kaele
607,mdjabou,26,8/10/2016 8:45,8/10/2016 7:49,43,1,exno,---,Kaele
1210,mdjabou,19,8/10/2016 10:05,8/10/2016 9:48,43,2,exno,---,Kaele
575,mdjabou,60,8/10/2016 10:30,8/10/2016 10:05,43,3,exno,---,Kaele
626,mdjabou,33,8/10/2016 11:23,8/10/2016 10:54,43,4,exno,---,Kaele
576,mdjabou,36,8/10/2016 11:57,8/10/2016 11:35,43,5,exno,---,Kaele
321,mdjabou,25,8/10/2016 18:41,8/10/2016 18:28,43,6,exno,---,Kaele
799,mdjabou,28,8/11/2016 11:24,8/11/2016 11:11,43,7,exno,---,Kaele
